Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
5_22,21.7626017,21.53518471,21.30776772,21.08035073,20.85293375,20.62551676,20.39809977,20.17068278,19.94326579,19.71584881,19.48843182,19.26101483,19.03359784,18.80618086,18.57876387,18.35134688,18.12392989,18.39296293,18.66199598,18.93102902,19.20006206,19.4690951,19.73812814,20.00716119,20.27619423,20.54522727,20.81426031,21.08329335,21.3523264,21.62135944,21.89039248,22.15942552,22.42845856,22.69749161,22.96652465,23.23555769,23.50459073,23.50459073,23.50459073,23.50459073,23.29543446,23.08627818,22.87712191,22.66796563,22.45880936,22.24965308,22.04049681,21.83134053
5_23,21.62218426,21.41302798,21.20387171,20.99471543,20.78555916,20.57640288,20.3672466,20.15809033,19.94893405,19.73977778,19.5306215,19.32146523,19.11230895,18.90315268,18.6939964,18.48484013,18.27568385,18.56426578,18.85284772,19.14142965,19.43001158,19.71859351,20.00717544,20.29575737,20.5843393,20.87292123,21.16150316,21.45008509,21.73866702,22.02724895,22.31583088,22.60441281,22.89299475,23.18157668,23.47015861,23.75874054,24.04732247,24.04732247,24.04732247,24.04732247,23.80128741,23.55525234,23.30921728,23.06318222,22.81714716,22.5711121,22.32507704,22.07904197
5_24,21.83300691,21.58697185,21.34093679,21.09490173,20.84886666,20.6028316,20.35679654,20.11076148,19.86472642,19.61869135,19.37265629,19.12662123,18.88058617,18.63455111,18.38851605,18.14248098,17.89644592,18.21030058,18.52415524,18.83800991,19.15186457,19.46571923,19.77957389,20.09342855,20.40728321,20.72113788,21.03499254,21.3488472,21.66270186,21.97655652,22.29041118,22.60426584,22.91812051,23.23197517,23.54582983,23.85968449,24.17353915,24.17353915,24.17353915,24.17353915,23.93593255,23.69832595,23.46071934,23.22311274,22.98550614,22.74789954,22.51029294,22.27268633
5_25,22.03507973,21.79747313,21.55986653,21.32225993,21.08465332,20.84704672,20.60944012,20.37183352,20.13422691,19.89662031,19.65901371,19.42140711,19.18380051,18.9461939,18.7085873,18.4709807,18.2333741,18.53656715,18.83976019,19.14295324,19.44614629,19.74933934,20.05253239,20.35572544,20.65891848,20.96211153,21.26530458,21.56849763,21.87169068,22.17488373,22.47807677,22.78126982,23.08446287,23.38765592,23.69084897,23.99404202,24.29723506,24.29723506,24.29723506,24.29723506,24.04659848,23.7959619,23.54532532,23.29468874,23.04405215,22.79341557,22.54277899,22.29214241
5_26,22.04150583,21.79086924,21.54023266,21.28959608,21.0389595,20.78832292,20.53768634,20.28704975,20.03641317,19.78577659,19.53514001,19.28450343,19.03386684,18.78323026,18.53259368,18.2819571,18.03132052,18.3289318,18.62654307,18.92415435,19.22176563,19.51937691,19.81698819,20.11459946,20.41221074,20.70982202,21.0074333,21.30504458,21.60265585,21.90026713,22.19787841,22.49548969,22.79310097,23.09071224,23.38832352,23.6859348,23.98354608,23.98354608,23.98354608,23.98354608,23.74841714,23.51328819,23.27815925,23.04303031,22.80790136,22.57277242,22.33764348,22.10251454
5_27,21.86738559,21.63225665,21.39712771,21.16199876,20.92686982,20.69174088,20.45661194,20.22148299,19.98635405,19.75122511,19.51609616,19.28096722,19.04583828,18.81070934,18.57558039,18.34045145,18.10532251,18.41773641,18.73015031,19.04256422,19.35497812,19.66739202,19.97980592,20.29221983,20.60463373,20.91704763,21.22946154,21.54187544,21.85428934,22.16670325,22.47911715,22.79153105,23.10394495,23.41635886,23.72877276,24.04118666,24.35360057,24.35360057,24.35360057,24.35360057,24.11402402,23.87444748,23.63487093,23.39529439,23.15571784,22.9161413,22.67656476,22.43698821
5_28,22.19741167,21.95783512,21.71825858,21.47868203,21.23910549,20.99952894,20.7599524,20.52037586,20.28079931,20.04122277,19.80164622,19.56206968,19.32249313,19.08291659,18.84334004,18.6037635,18.36418696,18.64664511,18.92910326,19.21156141,19.49401956,19.77647771,20.05893586,20.34139401,20.62385216,20.90631031,21.18876846,21.47122661,21.75368476,22.03614291,22.31860106,22.60105921,22.88351736,23.16597551,23.44843366,23.73089181,24.01334996,24.01334996,24.01334996,24.01334996,23.77914702,23.54494408,23.31074115,23.07653821,22.84233527,22.60813233,22.37392939,22.13972646
5_29,21.90552352,21.67132058,21.43711764,21.2029147,20.96871177,20.73450883,20.50030589,20.26610295,20.03190001,19.79769707,19.56349414,19.3292912,19.09508826,18.86088532,18.62668238,18.39247945,18.15827651,18.47656078,18.79484505,19.11312932,19.43141359,19.74969786,20.06798213,20.3862664,20.70455067,21.02283494,21.34111921,21.65940348,21.97768775,22.29597202,22.61425629,22.93254056,23.25082483,23.5691091,23.88739337,24.20567764,24.52396191,24.52396191,24.52396191,24.52396191,24.28331685,24.04267178,23.80202671,23.56138165,23.32073658,23.08009152,22.83944645,22.59880138
5_30,22.35815632,22.11751125,21.87686618,21.63622112,21.39557605,21.15493099,20.91428592,20.67364085,20.43299579,20.19235072,19.95170566,19.71106059,19.47041552,19.22977046,18.98912539,18.74848032,18.50783526,18.79504992,19.08226457,19.36947923,19.65669389,19.94390855,20.2311232,20.51833786,20.80555252,21.09276718,21.37998183,21.66719649,21.95441115,22.24162581,22.52884046,22.81605512,23.10326978,23.39048444,23.67769909,23.96491375,24.25212841,24.25212841,24.25212841,24.25212841,24.01748759,23.78284677,23.54820594,23.31356512,23.0789243,22.84428348,22.60964266,22.37500183
5_31,22.14036101,21.90572019,21.67107937,21.43643855,21.20179773,20.9671569,20.73251608,20.49787526,20.26323444,20.02859362,19.79395279,19.55931197,19.32467115,19.09003033,18.85538951,18.62074869,18.38610786,18.70448744,19.02286702,19.3412466,19.65962618,19.97800576,20.29638533,20.61476491,20.93314449,21.25152407,21.56990365,21.88828323,22.20666281,22.52504238,22.84342196,23.16180154,23.48018112,23.7985607,24.11694028,24.43531986,24.75369943,24.75369943,24.75369943,24.75369943,24.50236274,24.25102604,23.99968934,23.74835265,23.49701595,23.24567925,22.99434256,22.74300586
